measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1992,0.7926140685790688,0.8066299728149345,0.7787714915008204
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1992,0.8911778986996897,0.9065703968324329,0.8757976449384859
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1992,0.44487255240691337,0.46852191503377194,0.4200041950619612
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1992,0.6975190555815425,0.738006000393149,0.6586532101066919
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1991,637806.1926452981,673446.8151155403,605200.282377555
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1991,717377.8135642532,759644.188358022,681621.4715864918
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1991,125550.57598556289,132679.02218956087,117854.9959225301
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1991,197744.44553118336,214276.57139331466,182677.01383167502
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1991,0.7925718987207344,0.8065597885779614,0.7787069121820551
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1991,0.8914311398498621,0.9066202076325318,0.8757805551403929
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1991,0.44319920457352024,0.46629174020243336,0.4195261895525266
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1991,0.6978325078905618,0.7389307949429423,0.6570544330490115
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1995,695568.9356192393,723592.0737548722,667513.7367017627
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1995,782092.5787814937,816747.5393478305,749295.4603962483
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1995,143731.10586389826,152309.1963894225,134696.48064104083
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1995,223677.9694818034,241034.07441615884,206287.47212802654
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1995,0.7920189908007237,0.8061404352898891,0.7778888448786101
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1995,0.8905303688372185,0.9058221887968114,0.87498552529892
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1995,0.4467511220449244,0.46859319429308754,0.4239721191586901
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1995,0.6951073891412274,0.736830357025271,0.6554913755040712
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2006,822920.7485782404,860225.8847011252,785638.8571758639
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2006,933345.0479045374,976965.0076605871,890678.7999714644
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2006,195530.7523490713,207206.4431314627,181532.2526518253
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2006,308483.96449593874,334827.9904880038,284161.40108670894
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2006,0.7808199370767336,0.7952744583089576,0.7664266594604902
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2006,0.8855921936688255,0.9034075021022703,0.8688217699918219
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2006,0.43255719514854796,0.4524556359542196,0.413554951579415
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2006,0.6823676332796516,0.7282460888012464,0.6411181451783771
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2010,901486.5162847444,946510.4128546141,857323.7684667115
