measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,1993,61913.68001,78747.66908,46420.40708
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,1994,173579.1984,220350.7543,130818.5353
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,1994,102128.2626,138165.9103,70071.19261
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,1994,71512.77991,100762.1486,47010.14928
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,1994,39189.17631,74471.12066,7581.366358
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,1994,694246.3119,724381.7492,663075.5827
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1994,685528.3259,715191.7404,655207.3524
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,1994,43907.6427,65027.98002,26692.10902
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,1994,55699.96658,133478.1622,9018.118896
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,1994,38753.83668,57726.74903,12368.70678
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,1994,38753.83668,57726.74903,12368.70678
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,1994,334116.3012,390112.2736,276559.9656
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,1994,173579.1984,220350.7543,130818.5353
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,1994,63209.55736,79441.40484,47482.32858
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,1994,32182.82612,44263.80052,21306.26392
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,1994,31050.18656,42525.60201,21262.38676
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,1994,13251.93898,25458.76394,2591.772745
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,1994,154437.0122,165493.8465,143212.6755
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1994,138791.1193,146804.9759,130242.5664
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,1994,24253.76347,36139.62923,14842.48078
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,1994,19369.27568,46074.39647,3650.560318
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,1994,14316.18322,21348.93213,4628.851214
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,1994,14316.18322,21348.93213,4628.851214
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,1994,93120.19316,112085.7819,75637.7073
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,1994,63209.55736,79441.40484,47482.32858
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,1991,164815.3928,208119.9982,123277.3918
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,1991,93294.68485,128318.5458,63365.68033
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,1991,71541.30932,101729.8572,47311.84459
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,1991,36364.44821,70344.26678,6840.046313
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,1991,646134.2778,682010.311,613489.9446
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1991,637806.1926,673446.8151,605200.2824
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,1991,42003.69516,61270.94671,25155.59623
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,1991,51119.44443,121626.619,8338.016669
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,1991,36157.62475,53921.23606,11545.32503
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,1991,36157.62475,53921.23606,11545.32503
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,1991,314404.7514,368401.2693,261800.1117
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,1991,164815.3928,208119.9982,123277.3918
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,1991,58772.42905,74312.04686,44323.77678
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,1991,28457.54319,39806.54579,18659.63628
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,1991,30321.7938,41976.3351,20821.00952
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,1991,12111.87466,23383.04334,2443.06253
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,1991,140052.1946,150227.4349,130173.2511
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1991,125550.576,132679.0222,117854.9959
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,1991,22448.95813,32832.67499,13386.59381
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,1991,17761.13653,41671.31629,3307.305193
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,1991,13198.90293,19635.5403,4381.08652
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,1991,13198.90293,19635.5403,4381.08652
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,1991,85931.40852,103249.1327,69809.79271
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,1991,58772.42905,74312.04686,44323.77678
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,2002,198798.8633,248935.0265,151891.4172
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,2002,127402.4963,165946.8321,89654.7573
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,2002,71382.28402,105814.3199,45083.11244
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,2002,42563.05723,82175.82087,8261.19877
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,2002,780555.7299,814686.0589,747848.3667
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2002,770909.5894,804670.5255,738459.6475
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,2002,47531.68824,70704.90884,28562.25605
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,2002,72360.80326,168573.7717,12017.89597
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,2002,42333.47422,62722.53817,13157.91788
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,2002,42333.47422,62722.53817,13157.91788
